Код КЛАДР (ФИАС);Регион РФ;Номер часовой зоны (по МСК);Номер часовой зоны (по UTC)
1;Республика Адыгея (Адыгея);MCK;UTC+3
2;Республика Башкортостан;MCK+2;UTC+5
3;Республика Бурятия ;MCK+5;UTC+8
4;Республика Алтай ;MCK+4;UTC+7
5;Республика Дагестан;MCK;UTC+3
6;Республика Ингушетия;MCK;UTC+3
7;Кабардино-Балкарская Республика;MCK;UTC+3
8;Республика Калмыкия ;MCK;UTC+3
9;Карачаево-Черкесская Республика;MCK;UTC+3
10;Республика Карелия ;MCK;UTC+3
11;Республика Коми ;MCK;UTC+3
12;Республика Марий Эл ;MCK;UTC+3
13;Республика Мордовия ;MCK;UTC+3
14;Саха /Якутия/ Республика;MCK+6;UTC+9
14;Саха /Якутия/ Республика;MCK+7;UTC+10
14;Саха /Якутия/ Республика;MCK+8;UTC+11
15;Республика Северная Осетия - Алания;MCK;UTC+3
16;Республика Татарстан (Татарстан);MCK;UTC+3
17;Республика Тыва ;MCK+4;UTC+7
18;Удмуртская Республика;MCK+1;UTC+4
19;Республика Хакасия ;MCK+4;UTC+7
20;Чеченская Республика;MCK;UTC+3
21;Чувашская Республика - Чувашия;MCK;UTC+3
22;Алтайский Край;MCK+4;UTC+7
23;Краснодарский Край;MCK;UTC+3
24;Красноярский Край;MCK+4;UTC+7
25;Приморский Край;MCK+7;UTC+10
26;Ставропольский Край;MCK;UTC+3
27;Хабаровский Край;MCK+7;UTC+10
28;Амурская Область;MCK+6;UTC+9
29;Архангельская Область;MCK;UTC+3
30;Астраханская Область;MCK+1;UTC+4
31;Белгородская Область;MCK;UTC+3
32;Брянская Область;MCK;UTC+3
33;Владимирская Область;MCK;UTC+3
34;Волгоградская Область;MCK;UTC+3
35;Вологодская Область;MCK;UTC+3
36;Воронежская Область;MCK;UTC+3
37;Ивановская Область;MCK;UTC+3
38;Иркутская Область;MCK+5;UTC+8
39;Калининградская Область;МСК-1;UTC+2
40;Калужская Область;МСК;UTC+3
41;Камчатский Край;MCK+9;UTC+12
42;Кемеровская область;MCK+4;UTC+7
43;Кировская Область;MCK;UTC+3
44;Костромская Область;MCK;UTC+3
45;Курганская Область;MCK+2;UTC+5
46;Курская Область;MCK;UTC+3
47;Ленинградская Область;MCK;UTC+3
48;Липецкая Область;MCK;UTC+3
49;Магаданская Область;MCK+8;UTC+11
50;Московская Область;MCK;UTC+3
51;Мурманская Область;MCK;UTC+3
52;Нижегородская Область;MCK;UTC+3
53;Новгородская Область;MCK;UTC+3
54;Новосибирская Область;MCK+4;UTC+7
55;Омская Область;MCK+3;UTC+6
56;Оренбургская Область;MCK+2;UTC+5
57;Орловская Область;MCK;UTC+3
58;Пензенская Область;MCK;UTC+3
59;Пермский Край;MCK+2;UTC+5
60;Псковская Область;MCK;UTC+3
61;Ростовская Область;MCK;UTC+3
62;Рязанская Область;MCK;UTC+3
63;Самарская Область;MCK+1;UTC+4
64;Саратовская Область;MCK+1;UTC+4
65;Сахалинская Область;MCK+8;UTC+11
66;Свердловская Область;MCK+2;UTC+5
67;Смоленская Область;MCK;UTC+3
68;Тамбовская Область;MCK;UTC+3
69;Тверская Область;MCK;UTC+3
70;Томская Область;MCK+4;UTC+7
71;Тульская Область;MCK;UTC+3
72;Тюменская Область;MCK+2;UTC+5
73;Ульяновская Область;MCK+1;UTC+4
74;Челябинская Область;MCK+2;UTC+5
75;Забайкальский Край;MCK+6;UTC+9
76;Ярославская Область;MCK;UTC+3
77;Москва Город;MCK;UTC+3
78;Санкт-Петербург Город;MCK;UTC+3
79;Еврейская Автономная область;MCK+7;UTC+10
83;Ненецкий Автономный округ;MCK;UTC+3
86;Ханты-Мансийский автономный округ - Югра;MCK+2;UTC+5
87;Чукотский Автономный округ;MCK+9;UTC+12
89;Ямало-Ненецкий автономный округ;MCK+2;UTC+5
90;Запорожская область;MCK;UTC+3
91;Республика Крым ;MCK;UTC+3
92;Севастополь Город;MCK;UTC+3
93;Донецкая Народная Республика;MCK;UTC+3
94;Луганская Народная Республика;MCK;UTC+3
95;Херсонская область;MCK;UTC+3
